DIA,MES,ANO,HORA,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BARIOMETRICA,PRECIPITACIONES
1,6,2019,2,0.7,90.0,22.3,28,950,0.0
1,6,2019,3,0.58,236.0,21.4,31,950,0.0
1,6,2019,4,0.97,68.0,20.7,34,951,0.0
1,6,2019,5,1.31,62.0,19.9,41,951,0.0
1,6,2019,6,1.22,68.0,19.2,43,951,0.0
1,6,2019,7,1.24,62.0,18.7,44,951,0.0
1,6,2019,8,1.02,74.0,19.3,45,951,0.0
1,6,2019,9,1.12,133.0,21.2,40,952,0.0
1,6,2019,10,1.39,78.0,22.0,38,952,0.0
1,6,2019,11,1.32,72.0,23.4,35,952,0.0
1,6,2019,12,1.12,106.0,25.4,31,951,0.0
1,6,2019,13,1.4,74.0,26.7,29,951,0.0
1,6,2019,14,1.27,149.0,28.8,25,950,0.0
1,6,2019,15,1.2,196.0,31.0,19,950,0.0
1,6,2019,16,1.34,142.0,32.3,18,949,0.0
1,6,2019,17,1.3,167.0,33.3,15,948,0.0
1,6,2019,18,1.33,117.0,33.6,15,947,0.0
1,6,2019,19,1.29,175.0,34.2,14,947,0.0
1,6,2019,20,1.03,125.0,33.0,15,946,0.0
1,6,2019,21,0.92,213.0,31.1,17,946,0.0
1,6,2019,22,0.66,184.0,29.4,19,947,0.0
1,6,2019,23,0.5,254.0,26.6,24,947,0.0
1,6,2019,24,0.51,241.0,25.1,25,947,0.0
1,6,2020,1,1.6,51.0,18.1,73,946,0.0
1,6,2020,2,1.04,63.0,17.5,78,945,0.0
1,6,2020,3,1.2,66.0,17.6,76,945,0.0
1,6,2020,4,0.79,97.0,17.8,78,944,0.0
1,6,2020,5,0.89,297.0,17.3,81,944,0.0
1,6,2020,6,0.72,289.0,16.9,82,944,0.0
1,6,2020,7,0.66,193.0,16.5,84,944,0.0
1,6,2020,8,0.67,162.0,16.6,84,945,0.0
1,6,2020,9,0.66,197.0,20.1,69,945,0.0
1,6,2020,10,0.81,54.0,22.7,57,945,0.0
1,6,2020,11,1.01,96.0,23.2,54,946,0.0
1,6,2020,12,1.03,96.0,23.5,51,946,0.0
1,6,2020,13,1.06,86.0,25.5,44,946,0.0
1,6,2020,14,1.3,100.0,26.4,41,945,0.0
1,6,2020,15,1.42,68.0,27.0,39,945,0.0
1,6,2020,16,1.43,67.0,28.2,37,945,0.0
1,6,2020,17,0.98,35.0,28.1,36,944,0.0
1,6,2020,18,0.99,73.0,28.5,33,944,0.0
1,6,2020,19,1.04,194.0,28.5,31,944,0.0
1,6,2020,20,0.88,196.0,27.9,32,944,0.0
1,6,2020,21,0.97,237.0,27.0,35,944,0.0
1,6,2020,22,0.76,231.0,26.0,36,944,0.0
1,6,2020,23,0.72,327.0,25.0,38,944,0.0
1,6,2020,24,0.63,293.0,24.3,41,945,0.0
1,6,2021,1,1.77,62.0,20.0,74,942,0.0
1,6,2021,2,1.46,64.0,19.1,76,942,0.4
1,6,2021,3,1.14,74.0,18.5,81,942,0.0
1,6,2021,4,0.73,57.0,18.5,83,942,0.8
1,6,2021,5,1.01,69.0,17.8,84,941,0.2
1,6,2021,6,0.89,74.0,17.7,82,941,0.0
1,6,2021,7,1.14,61.0,17.5,85,941,0.4
1,6,2021,8,1.03,61.0,17.4,85,941,0.0
1,6,2021,9,1.05,63.0,17.6,84,941,0.0
1,6,2021,10,0.92,49.0,18.4,81,941,0.0
1,6,2021,11,0.98,98.0,20.3,74,941,0.0
1,6,2021,12,1.09,110.0,21.3,69,941,0.0
1,6,2021,13,1.62,197.0,22.6,60,941,0.0
1,6,2021,14,1.88,207.0,23.3,53,940,0.0
1,6,2021,15,1.74,202.0,23.4,50,940,0.0
1,6,2021,16,2.14,199.0,24.7,44,940,0.0
1,6,2021,17,2.07,215.0,25.1,40,940,0.0
1,6,2021,18,2.06,206.0,25.8,36,940,0.0
